model,r2,rmse,mae,time_s,fingerprint,split
Ridge Regression,0.3327321258588379,1.0226459844084776,0.8180591109600838,28.434134006500244,maccs,random
Lasso Regression,0.0700844491898982,1.2072493062934386,1.0089174932649878,0.0506660938262939,maccs,random
ElasticNet,0.1414410374584054,1.1600060984227702,0.9633082890335868,0.0465788841247558,maccs,random
k-Nearest Neighbors,0.4056946954197641,0.9651171046658578,0.7164357034795763,11.560389995574951,maccs,random
SVR (RBF),0.4746190941827544,0.9074283674813322,0.6772726227444789,6.094214916229248,maccs,random
SVR (Linear),0.2839351221444279,1.0593790876471827,0.8310889510333952,7.526268243789673,maccs,random
Decision Tree,0.3378772015057623,1.0186957171835882,0.7286604071817723,0.2787649631500244,maccs,random
Random Forest,0.5111469490200058,0.8753150068940696,0.656470368664993,80.18380427360535,maccs,random
Extra Trees,0.3493100219428098,1.009862552773802,0.7267800950072806,96.2142322063446,maccs,random
Gradient Boosting,0.4018103219663658,0.9682659656270938,0.766160690593919,5.64307713508606,maccs,random
Bayesian Ridge,0.336681,1.0196154914048752,0.814816951751709,6.447687864303589,maccs,random
PLS Regression,0.3306861670304587,1.0242125853705235,0.8170646156514242,0.6098775863647461,maccs,random
XGBoost,0.45310175,0.9258240637556976,0.6676217913627625,15.591574668884276,maccs,random
MLP Regressor,0.41279507,0.959334455248442,0.7176130414009094,17.44864511489868,maccs,random
AdaBoost,0.2521505741343079,1.0826355655446591,0.8968061612291933,2.378387451171875,maccs,random
Lasso Regression,-0.056624293,1.275204608431713,1.035775899887085,1.5839910507202148,maccs,kennard_stone
ElasticNet,0.0056501627,1.2370554636129405,1.0192221403121948,0.3943955898284912,maccs,kennard_stone
Decision Tree,0.1244646116551702,1.1607973954650266,0.8337587573322846,1.181990623474121,maccs,kennard_stone
Bayesian Ridge,0.18962926,1.1167641217611506,0.90507972240448,0.2902472019195556,maccs,kennard_stone
PLS Regression,0.1779447861395161,1.1247864264747889,0.9133271902373176,0.2039027214050293,maccs,kennard_stone
Ridge Regression,0.18398589,1.1206458921766795,0.9064694046974182,0.2456824779510498,maccs,kennard_stone
Gradient Boosting,0.247444452767517,1.07618975501563,0.8516637848432663,7.115270376205444,maccs,kennard_stone
XGBoost,0.15362847,1.141300732841848,0.8191785216331482,14.2146418094635,maccs,kennard_stone
SVR (RBF),0.20864713,1.1035821135079065,0.8412259817123413,1.5031259059906006,maccs,kennard_stone
SVR (Linear),0.079809725,1.1900313151270312,0.9441753029823304,3.2359166145324707,maccs,kennard_stone
k-Nearest Neighbors,0.27101272,1.0592038131630823,0.8050227165222168,0.2149691581726074,maccs,kennard_stone
MLP Regressor,0.29772747,1.039614709955248,0.786583662033081,19.44121599197388,maccs,kennard_stone
AdaBoost,0.2285242649625281,1.0896341556094429,0.8901156286442673,2.506459474563598,maccs,kennard_stone
Random Forest,0.25284088,1.0723242682869378,0.7765993475914001,49.6533420085907,maccs,kennard_stone
Lasso Regression,0.10874826,1.181885496886716,0.9889113903045654,7.611055850982666,pubchem,random
ElasticNet,0.19480479,1.1233776898970025,0.93876051902771,7.786288261413574,pubchem,random
Decision Tree,0.3367528908504289,1.0195602392246303,0.720695047941662,3.1047096252441406,pubchem,random
Bayesian Ridge,0.41977876,0.9536126562097926,0.7469342350959778,1.4481985569000244,pubchem,random
PLS Regression,0.3758809239497721,0.9890287952138564,0.7728306278920514,0.7265684604644775,pubchem,random
Ridge Regression,0.4148913,0.9576206183094902,0.7372121810913086,0.2618212699890136,pubchem,random
Gradient Boosting,0.449826175289393,0.9285924961297126,0.7311593232887762,24.366938829422,pubchem,random
XGBoost,0.4979965,0.887010097953662,0.6391738057136536,17.54645586013794,pubchem,random
SVR (RBF),0.4799515,0.9028116309510692,0.6713757514953613,0.406132698059082,pubchem,random
SVR (Linear),0.36578333,0.9969974382840134,0.7507398128509521,6.635652303695679,pubchem,random
k-Nearest Neighbors,0.39135534,0.976690848499245,0.7101089358329773,0.0578112602233886,pubchem,random
MLP Regressor,0.47952718,0.9031798547367456,0.6630944609642029,19.134262084960938,pubchem,random
AdaBoost,0.2424634125040884,1.089624887810314,0.9035368719701103,6.096803188323975,pubchem,random
Random Forest,0.52339387,0.8642811572699003,0.6429502367973328,131.72784614562988,pubchem,random
Lasso Regression,-0.04971552,1.0904051179217202,0.8750040531158447,4.196166753768921,pubchem,kennard_stone
ElasticNet,0.033582687,1.0462474935084574,0.8438593149185181,6.132869958877564,pubchem,kennard_stone
Decision Tree,-0.1437257400479521,1.138185427158692,0.8111303909540617,3.0009303092956543,pubchem,kennard_stone
Bayesian Ridge,0.0388453,1.043394937484039,0.8237983584403992,1.3699209690093994,pubchem,kennard_stone
PLS Regression,-0.0037406354469187,1.0662592859662448,0.8493640884913444,0.6896703243255615,pubchem,kennard_stone
Ridge Regression,0.02500534,1.050880172214006,0.8254786729812622,0.237215518951416,pubchem,kennard_stone
Gradient Boosting,0.1059800193165974,1.0062958594257605,0.779601251223894,21.50001716613769,pubchem,kennard_stone
XGBoost,-0.07212901,1.1019847953218245,0.7849298715591431,17.370777130126953,pubchem,kennard_stone
SVR (RBF),0.03518808,1.045378113014579,0.7815863490104675,0.4064610004425049,pubchem,kennard_stone
SVR (Linear),-0.06774855,1.099731275939759,0.8468174934387207,8.028385400772095,pubchem,kennard_stone
k-Nearest Neighbors,0.003921509,1.0621817617101454,0.8008019328117371,0.0530698299407959,pubchem,kennard_stone
MLP Regressor,0.09609747,1.0118424034405404,0.7557134628295898,16.408918380737305,pubchem,kennard_stone
AdaBoost,0.0799613043535605,1.0208339852123811,0.8195309403971899,7.770385980606079,pubchem,kennard_stone
Random Forest,0.053037465,1.0356630632108434,0.7651801705360413,133.75712418556213,pubchem,kennard_stone
Lasso Regression,0.048786223,1.220996058602185,1.0208438634872437,0.1912581920623779,substructure,random
ElasticNet,0.12811852,1.1689715211204044,0.9717071056365968,0.3182976245880127,substructure,random
Decision Tree,0.3323306581390781,1.0229535763240876,0.7770959975043993,0.2683124542236328,substructure,random
Bayesian Ridge,0.2514668,1.0831303712037,0.8651775121688843,0.1339480876922607,substructure,random
PLS Regression,0.2504868863284286,1.0838391279908255,0.8600736295147678,0.1540262699127197,substructure,random
Ridge Regression,0.24986893,1.08428582476151,0.8641400933265686,0.0681581497192382,substructure,random
Gradient Boosting,0.3411330115669561,1.0161880462639203,0.819775366475776,2.7376179695129395,substructure,random
XGBoost,0.35331053,1.0067534093768296,0.7744342088699341,12.068544626235962,substructure,random
SVR (RBF),0.3760333,0.9889080788831576,0.7706014513969421,0.2944307327270508,substructure,random
SVR (Linear),0.23069811,1.0980537753599109,0.8621652722358704,0.8143315315246582,substructure,random
k-Nearest Neighbors,0.2885148,1.055985958345575,0.8113011121749878,0.032123327255249,substructure,random
MLP Regressor,0.39972764,0.9699500557242716,0.7661796808242798,11.677956581115724,substructure,random
AdaBoost,0.1755370409900626,1.1367390567770912,0.947974113089192,0.7596259117126465,substructure,random
Random Forest,0.42802227,0.9468142033563596,0.7352109551429749,29.40222787857056,substructure,random
Lasso Regression,-0.04023838,1.2764218704663142,1.0466110706329346,0.1258859634399414,substructure,kennard_stone
ElasticNet,0.05584222,1.2160462441466349,1.0051145553588867,0.2171225547790527,substructure,kennard_stone
Decision Tree,0.042006512782441,1.224923804076607,0.9292312278781888,0.2580869197845459,substructure,kennard_stone
Bayesian Ridge,0.12345642,1.1716949324546857,0.946456015110016,0.1209087371826171,substructure,kennard_stone
PLS Regression,0.1168861195695143,1.1760780691318689,0.9464337478678072,0.1267843246459961,substructure,kennard_stone
Ridge Regression,0.11555034,1.1769671875132235,0.9518535137176514,0.0583229064941406,substructure,kennard_stone
Gradient Boosting,0.1893909316420909,1.1267654586380946,0.9105619136631052,2.8285574913024902,substructure,kennard_stone
XGBoost,0.07866043,1.2012617868406876,0.91322261095047,13.108458757400513,substructure,kennard_stone
SVR (RBF),0.053092062,1.2178159704787854,0.9577051401138306,0.328115701675415,substructure,kennard_stone
SVR (Linear),0.049172163,1.220334075072736,0.9836620092391968,0.9332077503204346,substructure,kennard_stone
k-Nearest Neighbors,0.17870736,1.1341663557543151,0.8653637766838074,0.0487051010131835,substructure,kennard_stone
MLP Regressor,0.18943876,1.126732181463196,0.8760330677032471,11.812100172042848,substructure,kennard_stone
AdaBoost,0.0892172046637205,1.1943598765308738,0.977288937536209,1.2096796035766602,substructure,kennard_stone
Random Forest,0.13857442,1.161546689537316,0.8790434002876282,29.08634114265442,substructure,kennard_stone
Lasso Regression,0.05306822,1.2182447902443578,1.019907832145691,0.5387189388275146,klekota_roth,random
ElasticNet,0.13442963,1.1647330279467805,0.9733945727348328,2.152456045150757,klekota_roth,random
Decision Tree,0.236923417528862,1.0936019366785514,0.7610970309012373,1.469438076019287,klekota_roth,random
Bayesian Ridge,0.4092129,0.9622562012981772,0.7537816166877747,1.3226618766784668,klekota_roth,random
PLS Regression,0.3889799606702537,0.9785948695638236,0.7659784442107501,0.5906181335449219,klekota_roth,random
Ridge Regression,0.38844526,0.9790229624275358,0.7733814716339111,0.2342293262481689,klekota_roth,random
Gradient Boosting,0.445990197277238,0.9318240866280244,0.7365197109960618,17.8872013092041,klekota_roth,random
XGBoost,0.49193317,0.8923508502916184,0.6526418328285217,16.308714151382446,klekota_roth,random
SVR (RBF),0.47151738,0.910103039147932,0.6825767159461975,0.3993661403656006,klekota_roth,random
SVR (Linear),0.33475548,1.0210942823646518,0.788837194442749,4.469821929931641,klekota_roth,random
k-Nearest Neighbors,0.38022947,0.9855772578469688,0.7361664175987244,0.0653426647186279,klekota_roth,random
MLP Regressor,0.4527555,0.9261171077783812,0.707700252532959,19.07280468940735,klekota_roth,random
AdaBoost,0.1999534906998629,1.119780305674953,0.9341996812427498,5.509628534317017,klekota_roth,random
Random Forest,0.5263118,0.8616313443854465,0.6560115218162537,125.58369326591492,klekota_roth,random
Lasso Regression,0.008950055,1.2141642740174132,1.008389949798584,0.6079838275909424,klekota_roth,kennard_stone
ElasticNet,0.04131794,1.1941722841967013,0.9887836575508118,2.3944292068481445,klekota_roth,kennard_stone
Decision Tree,0.2259107759729917,1.0730629153476543,0.7298103270491934,2.273874521255493,klekota_roth,kennard_stone
Bayesian Ridge,0.3521793,0.9816509581757084,0.7923458218574524,1.301677942276001,klekota_roth,kennard_stone
PLS Regression,0.3167144212435169,1.0081631113031977,0.8128964698332624,0.6864557266235352,klekota_roth,kennard_stone
Ridge Regression,0.3774382,0.9623230969739388,0.7732919454574585,0.2319071292877197,klekota_roth,kennard_stone
Gradient Boosting,0.3219587967392269,1.00428671591525,0.8171130498415203,19.31622338294983,klekota_roth,kennard_stone
XGBoost,0.37518758,0.9640609716468208,0.6678735017776489,16.07118821144104,klekota_roth,kennard_stone
SVR (RBF),0.3735482,0.9653248996500132,0.7409266233444214,0.4596402645111084,klekota_roth,kennard_stone
SVR (Linear),0.27441186,1.0389024424787938,0.8122717142105103,5.607941627502441,klekota_roth,kennard_stone
k-Nearest Neighbors,0.2935276,1.0251260470601384,0.7896530628204346,0.0623559951782226,klekota_roth,kennard_stone
MLP Regressor,0.4390697,0.91344861666231,0.6771776676177979,18.81863164901733,klekota_roth,kennard_stone
AdaBoost,0.0934565430647569,1.1612453529124296,0.9655534105240434,10.916120529174805,klekota_roth,kennard_stone
Random Forest,0.44839633,0.90582281765161,0.7044273018836975,124.43433499336244,klekota_roth,kennard_stone
Lasso Regression,0.114212215,1.1782570560016603,0.985063910484314,3.080047130584717,cdk,random
ElasticNet,0.24431813,1.088290183967895,0.8988474607467651,5.921761751174927,cdk,random
Decision Tree,0.3106434836452908,1.0394345546580903,0.7477975665286689,12.137067079544067,cdk,random
Bayesian Ridge,0.47441155,0.907607574444818,0.6966637372970581,6.291490793228149,cdk,random
PLS Regression,0.4298337067693307,0.945313755219716,0.7217686476327562,1.573671579360962,cdk,random
Ridge Regression,0.22002017,1.105648012757369,0.815410852432251,0.5715572834014893,cdk,random
Gradient Boosting,0.477358541247866,0.9050595104348262,0.6938844040694832,65.01336717605591,cdk,random
XGBoost,0.5368836,0.8519620745371151,0.613917350769043,26.458260536193848,cdk,random
SVR (RBF),0.52995217,0.8583140673527594,0.6369724273681641,0.5602400302886963,cdk,random
SVR (Linear),0.06592709,1.2099449273651983,0.8617237210273743,32.32115650177002,cdk,random
k-Nearest Neighbors,0.41763896,0.9553694641479956,0.6897549033164978,0.104264497756958,cdk,random
MLP Regressor,0.5326362,0.8558599892513521,0.6181367039680481,25.091602087020878,cdk,random
AdaBoost,0.3155393691918203,1.0357368885770797,0.852924852295567,25.39366555213928,cdk,random
Random Forest,0.55921113,0.8311712270713193,0.6240927577018738,305.57901215553284,cdk,random
Lasso Regression,-0.120828986,1.3398628344719767,1.1117929220199585,3.135760307312012,cdk,kennard_stone
ElasticNet,-0.05744183,1.301424251326099,1.0676043033599854,7.465540647506714,cdk,kennard_stone
Decision Tree,0.1027398192529053,1.198808588777196,0.8219018579260703,15.182205438613892,cdk,kennard_stone
Bayesian Ridge,0.18879968,1.139868393880645,0.899551272392273,6.712648153305054,cdk,kennard_stone
PLS Regression,0.1988799826448107,1.1327640044828713,0.906279388365372,2.1609110832214355,cdk,kennard_stone
Ridge Regression,0.23902494,1.1040172415817509,0.8479324579238892,0.5226547718048096,cdk,kennard_stone
Gradient Boosting,0.1925594736251579,1.137223747542123,0.9001394959103929,63.59653067588806,cdk,kennard_stone
XGBoost,0.2461766,1.098817204578106,0.7708929777145386,27.1186363697052,cdk,kennard_stone
SVR (RBF),0.23277438,1.108542116238315,0.8467223644256592,0.5272846221923828,cdk,kennard_stone
SVR (Linear),0.23904997,1.103999101171957,0.85111004114151,40.360026836395264,cdk,kennard_stone
k-Nearest Neighbors,-0.037419677,1.2890444205201137,0.9693177938461304,0.0950286388397216,cdk,kennard_stone
MLP Regressor,0.27852827,1.0749798107469222,0.7861346006393433,20.479841232299805,cdk,kennard_stone
AdaBoost,0.0214042750195461,1.251965339007763,1.0388626899347138,253.56645917892456,cdk,kennard_stone
Random Forest,0.3477732,1.0220919784095273,0.7544717192649841,304.6005291938782,cdk,kennard_stone
Lasso Regression,0.13950408,1.1613138505281015,0.9650744199752808,4.428920030593872,cdk_ext,random
ElasticNet,0.22260046,1.1038176806772022,0.9082138538360596,6.059600114822388,cdk_ext,random
Decision Tree,0.3660562452084606,0.9967828829946296,0.6931803465741218,14.355687856674194,cdk_ext,random
Bayesian Ridge,0.47076046,0.910754551518282,0.6992025375366211,7.606319665908813,cdk_ext,random
PLS Regression,0.427876920329576,0.9469345041029464,0.740086367629326,1.5706636905670166,cdk_ext,random
Ridge Regression,0.20944369,1.1131190131581723,0.8250603079795837,0.5306587219238281,cdk_ext,random
Gradient Boosting,0.4848871421008723,0.8985172163047797,0.6960511723136353,69.94547963142395,cdk_ext,random
XGBoost,0.5516947,0.8382279932857616,0.6104108691215515,26.4414119720459,cdk_ext,random
SVR (RBF),0.5263572,0.8615900796122568,0.6433542370796204,0.5412278175354004,cdk_ext,random
SVR (Linear),0.08743483,1.1959338598941045,0.8717814683914185,34.76784157752991,cdk_ext,random
k-Nearest Neighbors,0.42423898,0.9499403483083758,0.6856973767280579,0.1189608573913574,cdk_ext,random
MLP Regressor,0.53261733,0.8558772953582644,0.6319592595100403,29.042582988739014,cdk_ext,random
AdaBoost,0.2822047079717965,1.060658338100869,0.8656025199925844,45.61548399925232,cdk_ext,random
Random Forest,0.58073235,0.8106266947591061,0.6056592464447021,306.795538187027,cdk_ext,random
Lasso Regression,-0.10944879,1.3213606065776884,1.093260645866394,3.4255919456481934,cdk_ext,kennard_stone
ElasticNet,-0.04490304,1.2823474649808015,1.0568002462387085,6.620571851730347,cdk_ext,kennard_stone
Decision Tree,0.3074905454738126,1.0439521193100068,0.7198656906575074,15.283142805099487,cdk_ext,kennard_stone
Bayesian Ridge,0.22686625,1.1030496069023712,0.8787776827812195,6.131292104721069,cdk_ext,kennard_stone
PLS Regression,0.1943574999671167,1.1260013494964147,0.9136901464389976,1.9432387351989744,cdk_ext,kennard_stone
Ridge Regression,0.31958526,1.034795619116594,0.805508017539978,0.5623469352722168,cdk_ext,kennard_stone
Gradient Boosting,0.2148161405574058,1.1116124661526554,0.8861508888708175,68.82476592063904,cdk_ext,kennard_stone
XGBoost,0.30102855,1.0488115305804313,0.7249031662940979,26.44154357910156,cdk_ext,kennard_stone
SVR (RBF),0.26785797,1.073409396363113,0.8222435116767883,0.4975643157958984,cdk_ext,kennard_stone
SVR (Linear),0.29840243,1.0507798886201682,0.8053300976753235,45.65482807159424,cdk_ext,kennard_stone
k-Nearest Neighbors,0.16340244,1.1474295104572658,0.8622564673423767,0.11906099319458,cdk_ext,kennard_stone
MLP Regressor,0.3027743,1.0475009356474054,0.7489144802093506,22.2651047706604,cdk_ext,kennard_stone
AdaBoost,0.1287195673855815,1.1709725302474827,0.9731378323633424,255.4073581695557,cdk_ext,kennard_stone
Random Forest,0.30860436,1.0431122413252685,0.7539408206939697,301.5548822879791,cdk_ext,kennard_stone
Lasso Regression,0.109206855,1.181581404281761,0.9862269163131714,3.68363356590271,cdk_graphonly,random
ElasticNet,0.18377584,1.131045153285693,0.9435920715332032,4.785470724105835,cdk_graphonly,random
